CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
"Mokulele Flight Services, Inc.",LAX,"Los Angeles, CA",United States,SMX,"Santa Maria, CA",United States,TRUE,10
Federal Express Corporation,LAX,"Los Angeles, CA",United States,TPA,"Tampa, FL",United States,FALSE,24
American Airlines Inc.,LAX,"Los Angeles, CA",United States,MBJ,"Montego Bay, Jamaica",Jamaica,TRUE,10
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,FAR,"Fargo, ND",United States,TRUE,6
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,FAT,"Fresno, CA",United States,TRUE,37
"Jet Aviation Flight Services, Inc.",LAX,"Los Angeles, CA",United States,QRO,"Queretaro, Mexico",Mexico,TRUE,20
Compagnie Natl Air France,LAX,"Los Angeles, CA",United States,PPT,"Papeete, French Polynesia",French Polynesia,TRUE,27
TAG Aviation (UK) Ltd.,LAX,"Los Angeles, CA",United States,FAB,"Farnborough, United Kingdom",United Kingdom,TRUE,8
Aerounion Aerotransporte de Carga Union SA de CV,LAX,"Los Angeles, CA",United States,MTY,"Monterrey, Mexico",Mexico,FALSE,18
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,EUG,"Eugene, OR",United States,TRUE,32
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,MTJ,"Montrose/Delta, CO",United States,TRUE,13
CFM Inc d/b/a Contour Airlines,LAX,"Los Angeles, CA",United States,MTO,"Mattoon/Charleston, IL",United States,TRUE,1
VistaJet Limited,LAX,"Los Angeles, CA",United States,VKO,"Moscow, Russia",Russia,TRUE,1
VistaJet Limited,LAX,"Los Angeles, CA",United States,NAN,"Nadi, Fiji",Fiji,TRUE,25
Western Global,LAX,"Los Angeles, CA",United States,EBB,"Entebbe/Kampala, Uganda",Uganda,FALSE,1
United Parcel Service,LAX,"Los Angeles, CA",United States,SDF,"Louisville, KY",United States,FALSE,20
CFM Inc d/b/a Contour Airlines,LAX,"Los Angeles, CA",United States,SDM,"San Diego, CA",United States,TRUE,1
Scandinavian Airlines Sys.,LAX,"Los Angeles, CA",United States,ARN,"Stockholm, Sweden",Sweden,TRUE,31
Virgin America,LAX,"Los Angeles, CA",United States,BOX,"Borroloola, Australia",Australia,TRUE,1
Southwest Airlines Co.,LAX,"Los Angeles, CA",United States,GSP,"Greer, SC",United States,TRUE,1
Virgin Atlantic Airways,LAX,"Los Angeles, CA",United States,BOS,"Boston, MA",United States,TRUE,100
Federal Express Corporation,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,FALSE,148
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,COS,"Colorado Springs, CO",United States,TRUE,38
Avjet Corporation,LAX,"Los Angeles, CA",United States,CCR,"Concord, CA",United States,TRUE,1
"Swift Air, LLC",LAX,"Los Angeles, CA",United States,BOI,"Boise, ID",United States,TRUE,37
VistaJet Limited,LAX,"Los Angeles, CA",United States,NAP,"Naples, Italy",Italy,TRUE,1
"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",LAX,"Los Angeles, CA",United States,TIJ,"Tijuana, Mexico",Mexico,TRUE,2
VistaJet Limited,LAX,"Los Angeles, CA",United States,BOB,"Bora Bora, French Polynesia",French Polynesia,TRUE,1
Kalitta Air LLC,LAX,"Los Angeles, CA",United States,BOD,"Bordeaux, France",France,FALSE,2
Lan-Chile Airlines,LAX,"Los Angeles, CA",United States,BOG,"Bogota, Colombia",Colombia,FALSE,14
Cargolux Airlines International S.A,LAX,"Los Angeles, CA",United States,PIK,"Glasgow/Prestwick, United Kingdom",United Kingdom,FALSE,12
Spirit Air Lines,LAX,"Los Angeles, CA",United States,MYR,"Myrtle Beach, SC",United States,TRUE,1
Atlas Air Inc.,LAX,"Los Angeles, CA",United States,UIO,"Quito, Ecuador",Ecuador,FALSE,3
Miami Air International,LAX,"Los Angeles, CA",United States,PIT,"Pittsburgh, PA",United States,TRUE,42
Sky Lease Cargo,LAX,"Los Angeles, CA",United States,HKG,"Hong Kong, Hong Kong",Hong Kong,FALSE,37
Aeroflot Russian Airlines,LAX,"Los Angeles, CA",United States,SVO,"Moscow, Russia",Russia,TRUE,16
"Jet Aviation Flight Services, Inc.",LAX,"Los Angeles, CA",United States,YVR,"Vancouver, Canada",Canada,TRUE,130
VistaJet Limited,LAX,"Los Angeles, CA",United States,NAS,"Nassau, The Bahamas",The Bahamas,TRUE,1
"Mokulele Flight Services, Inc.",LAX,"Los Angeles, CA",United States,CXL,"Calexico, CA",United States,TRUE,1
Alaska Airlines Inc.,LAX,"Los Angeles, CA",United States,ZLO,"Manzanillo, Mexico",Mexico,TRUE,39
JetBlue Airways,LAX,"Los Angeles, CA",United States,FLL,"Fort Lauderdale, FL",United States,TRUE,53
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,DEN,"Denver, CO",United States,TRUE,241
Federal Express Corporation,LAX,"Los Angeles, CA",United States,SMF,"Sacramento, CA",United States,FALSE,104
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,FLG,"Flagstaff, AZ",United States,TRUE,1
Lan-Chile Airlines,LAX,"Los Angeles, CA",United States,SCL,"Santiago, Chile",Chile,TRUE,17
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,PTK,"Pontiac, MI",United States,TRUE,3
"Jet Aviation Flight Services, Inc.",LAX,"Los Angeles, CA",United States,SCE,"State College, PA",United States,TRUE,1
Avjet Corporation,LAX,"Los Angeles, CA",United States,SCF,"Phoenix, AZ",United States,TRUE,2
Philippine Airlines Inc.,LAX,"Los Angeles, CA",United States,MNL,"Manila, Philippines",Philippines,TRUE,20
Air Alsie A/S,LAX,"Los Angeles, CA",United States,OSL,"Oslo, Norway",Norway,TRUE,17
Atlas Air Inc.,LAX,"Los Angeles, CA",United States,PTY,"Panama City, Panama",Panama,FALSE,14
Singapore Airlines Ltd.,LAX,"Los Angeles, CA",United States,AMS,"Amsterdam, Netherlands",Netherlands,FALSE,41
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),LAX,"Los Angeles, CA",United States,UPN,"Uruapan, Mexico",Mexico,TRUE,20
Avjet Corporation,LAX,"Los Angeles, CA",United States,TRM,"Thermal, CA",United States,TRUE,1
Federal Express Corporation,LAX,"Los Angeles, CA",United States,BDL,"Hartford, CT",United States,FALSE,13
Federal Express Corporation,LAX,"Los Angeles, CA",United States,EWR,"Newark, NJ",United States,FALSE,103
Spirit Air Lines,LAX,"Los Angeles, CA",United States,PBI,"West Palm Beach/Palm Beach, FL",United States,TRUE,2
Korean Air Lines Co. Ltd.,LAX,"Los Angeles, CA",United States,CJU,"Jeju, South Korea",South Korea,FALSE,2
Amerijet International,LAX,"Los Angeles, CA",United States,LRD,"Laredo, TX",United States,FALSE,1
American Airlines Inc.,LAX,"Los Angeles, CA",United States,AVP,"Scranton/Wilkes-Barre, PA",United States,TRUE,1
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),LAX,"Los Angeles, CA",United States,ACA,"Acapulco, Mexico",Mexico,TRUE,1
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,SUN,"Sun Valley/Hailey/Ketchum, ID",United States,TRUE,17
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,XNA,"Fayetteville, AR",United States,TRUE,17
Atlas Air Inc.,LAX,"Los Angeles, CA",United States,SUU,"Fairfield, CA",United States,FALSE,4
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",United States,ACT,"Waco, TX",United States,TRUE,2
"Jet Aviation Flight Services, Inc.",LAX,"Los Angeles, CA",United States,ACY,"Atlantic City, NJ",United States,TRUE,2
