CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,ACV,"Arcata/Eureka, CA",United States,True,35
JetBlue Airways,SFO,"San Francisco, CA",United States,PVD,"Providence, RI",United States,True,1
Alaska Airlines Inc.,SFO,"San Francisco, CA",United States,SEA,"Seattle, WA",United States,True,217
Swiss International Airlines,SFO,"San Francisco, CA",United States,ZRH,"Zurich, Switzerland",Switzerland,True,15
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,MDW,"Chicago, IL",United States,True,25
American Airlines Inc.,SFO,"San Francisco, CA",United States,MDT,"Harrisburg, PA",United States,True,3
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,RDU,"Raleigh/Durham, NC",United States,True,48
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,OTH,"North Bend/Coos Bay, OR",United States,True,13
United Air Lines Inc.,SFO,"San Francisco, CA",United States,FRA,"Frankfurt, Germany",Germany,True,25
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,FRG,"East Farmingdale, NY",United States,True,1
United Air Lines Inc.,SFO,"San Francisco, CA",United States,PVG,"Shanghai, China",China,True,46
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,PDX,"Portland, OR",United States,True,160
JetBlue Airways,SFO,"San Francisco, CA",United States,NAS,"Nassau, The Bahamas",The Bahamas,True,1
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,CLE,"Cleveland, OH",United States,True,37
American Airlines Inc.,SFO,"San Francisco, CA",United States,DFW,"Dallas/Fort Worth, TX",United States,True,85
United Air Lines Inc.,SFO,"San Francisco, CA",United States,JAX,"Jacksonville, FL",United States,True,2
Philippine Airlines Inc.,SFO,"San Francisco, CA",United States,SJU,"San Juan, PR",United States,True,1
United Air Lines Inc.,SFO,"San Francisco, CA",United States,TLC,"Toluca, Mexico",Mexico,True,1
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,RDD,"Redding, CA",United States,True,20
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,AUS,"Austin, TX",United States,True,91
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,PDK,"Atlanta, GA",United States,True,1
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,RDM,"Bend/Redmond, OR",United States,True,28
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,SJC,"San Jose, CA",United States,True,4
VistaJet Limited,SFO,"San Francisco, CA",United States,ADL,"Adelaide, Australia",Australia,True,1
Air Berlin PLC and CO,SFO,"San Francisco, CA",United States,DUS,"Dusseldorf, Germany",Germany,True,5
Lynden Air Cargo Airlines,SFO,"San Francisco, CA",United States,SJD,"San Jose del Cabo, Mexico",Mexico,False,93
United Air Lines Inc.,SFO,"San Francisco, CA",United States,OMA,"Omaha, NE",United States,True,16
Compagnie Natl Air France,SFO,"San Francisco, CA",United States,CDG,"Paris, France",France,True,48
United Air Lines Inc.,SFO,"San Francisco, CA",United States,YYR,"Goose Bay, Canada",Canada,True,1
Federal Express Corporation,SFO,"San Francisco, CA",United States,MEM,"Memphis, TN",United States,False,23
Virgin Atlantic Airways,SFO,"San Francisco, CA",United States,KEF,"Keflavik/Reykjavik, Iceland",Iceland,True,13
Singapore Airlines Ltd.,SFO,"San Francisco, CA",United States,BRU,"Brussels, Belgium",Belgium,False,4
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,TUS,"Tucson, AZ",United States,True,33
United Air Lines Inc.,SFO,"San Francisco, CA",United States,ALB,"Albany, NY",United States,True,1
Chartright Air Inc.,SFO,"San Francisco, CA",United States,YYZ,"Toronto, Canada",Canada,True,63
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,SBA,"Santa Barbara, CA",United States,True,55
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,TUL,"Tulsa, OK",United States,True,1
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,MMH,"Mammoth Lakes, CA",United States,True,5
Chartright Air Inc.,SFO,"San Francisco, CA",United States,YYC,"Calgary, Canada",Canada,True,65
Asiana Airlines Inc.,SFO,"San Francisco, CA",United States,ORD,"Chicago, IL",United States,False,165
United Air Lines Inc.,SFO,"San Francisco, CA",United States,SYD,"Sydney, Australia",Australia,True,27
United Air Lines Inc.,SFO,"San Francisco, CA",United States,GDL,"Guadalajara, Mexico",Mexico,True,26
United Air Lines Inc.,SFO,"San Francisco, CA",United States,MEX,"Mexico City, Mexico",Mexico,True,78
London Air Services Limited,SFO,"San Francisco, CA",United States,YYJ,"Victoria, Canada",Canada,True,17
Sun Country Airlines d/b/a MN Airlines,SFO,"San Francisco, CA",United States,MKE,"Milwaukee, WI",United States,True,23
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,MKC,"Kansas City, MO",United States,True,2
United Air Lines Inc.,SFO,"San Francisco, CA",United States,MSY,"New Orleans, LA",United States,True,54
Miami Air International,SFO,"San Francisco, CA",United States,CID,"Cedar Rapids/Iowa City, IA",United States,True,1
United Air Lines Inc.,SFO,"San Francisco, CA",United States,KOA,"Kona, HI",United States,True,31
American Airlines Inc.,SFO,"San Francisco, CA",United States,RIC,"Richmond, VA",United States,True,2
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,MSP,"Minneapolis, MN",United States,True,130
SkyWest Airlines Inc.,SFO,"San Francisco, CA",United States,MSO,"Missoula, MT",United States,True,8
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,MSN,"Madison, WI",United States,True,4
China Southern Airlines,SFO,"San Francisco, CA",United States,CAN,"Guangzhou, China",China,False,12
Atlas Air Inc.,SFO,"San Francisco, CA",United States,CVG,"Cincinnati, OH",United States,False,65
"Jet Aviation Flight Services, Inc.",SFO,"San Francisco, CA",United States,MRY,"Monterey, CA",United States,True,21
United Air Lines Inc.,SFO,"San Francisco, CA",United States,CYS,"Cheyenne, WY",United States,True,1
Air Berlin PLC and CO,SFO,"San Francisco, CA",United States,TXL,"Berlin, Germany",Germany,True,5
JetBlue Airways,SFO,"San Francisco, CA",United States,TPA,"Tampa, FL",United States,True,31
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,DAL,"Dallas, TX",United States,True,51
United Air Lines Inc.,SFO,"San Francisco, CA",United States,SAV,"Savannah, GA",United States,True,1
