CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
Federal Express Corporation,SMX,"Santa Maria, CA",United States,OAK,"Oakland, CA",United States,False,1
Federal Express Corporation,ATL,"Atlanta, GA",United States,OAK,"Oakland, CA",United States,False,24
Federal Express Corporation,HNL,"Honolulu, HI",United States,OAK,"Oakland, CA",United States,False,52
Sun Country Airlines d/b/a MN Airlines,ACT,"Waco, TX",United States,OAK,"Oakland, CA",United States,True,1
London Air Services Limited,SMF,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,True,15
Allegiant Air,IDA,"Idaho Falls, ID",United States,OAK,"Oakland, CA",United States,True,4
Southwest Airlines Co.,PVR,"Puerto Vallarta, Mexico",Mexico,OAK,"Oakland, CA",United States,True,11
Allegiant Air,PVU,"Provo, UT",United States,OAK,"Oakland, CA",United States,True,15
United Parcel Service,MHR,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,False,20
Allegiant Air,FCA,"Kalispell, MT",United States,OAK,"Oakland, CA",United States,True,3
Federal Express Corporation,PVG,"Shanghai, China",China,OAK,"Oakland, CA",United States,False,7
Sata Internacional,TER,"Lajes, Portugal",Portugal,OAK,"Oakland, CA",United States,True,4
Federal Express Corporation,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False,124
Delta Air Lines Inc.,MDW,"Chicago, IL",United States,OAK,"Oakland, CA",United States,True,21
Avjet Corporation,TVC,"Traverse City, MI",United States,OAK,"Oakland, CA",United States,True,1
United Air Lines Inc.,RDU,"Raleigh/Durham, NC",United States,OAK,"Oakland, CA",United States,True,1
Peninsula Airways Inc.,OTH,"North Bend/Coos Bay, OR",United States,OAK,"Oakland, CA",United States,True,1
Air Alsie A/S,FRA,"Frankfurt, Germany",Germany,OAK,"Oakland, CA",United States,True,2
Federal Express Corporation,SEA,"Seattle, WA",United States,OAK,"Oakland, CA",United States,False,149
Avjet Corporation,CWF,"Lake Charles, LA",United States,OAK,"Oakland, CA",United States,True,1
Delta Air Lines Inc.,PDX,"Portland, OR",United States,OAK,"Oakland, CA",United States,True,109
Sun Country Airlines d/b/a MN Airlines,CLE,"Cleveland, OH",United States,OAK,"Oakland, CA",United States,True,3
Federal Express Corporation,DFW,"Dallas/Fort Worth, TX",United States,OAK,"Oakland, CA",United States,False,24
National Air Cargo Group Inc d/ba National Airlines,TUP,"Tupelo, MS",United States,OAK,"Oakland, CA",United States,True,1
Southwest Airlines Co.,AUS,"Austin, TX",United States,OAK,"Oakland, CA",United States,True,19
USA Jet Airlines Inc.,YIP,"Detroit, MI",United States,OAK,"Oakland, CA",United States,False,5
Delta Air Lines Inc.,CLT,"Charlotte, NC",United States,OAK,"Oakland, CA",United States,True,3
Delta Air Lines Inc.,SJC,"San Jose, CA",United States,OAK,"Oakland, CA",United States,True,12
USA Jet Airlines Inc.,ELP,"El Paso, TX",United States,OAK,"Oakland, CA",United States,False,11
Southwest Airlines Co.,SJD,"San Jose del Cabo, Mexico",Mexico,OAK,"Oakland, CA",United States,True,12
Southwest Airlines Co.,OMA,"Omaha, NE",United States,OAK,"Oakland, CA",United States,True,5
Norwegian Air Shuttle ASA,YYR,"Goose Bay, Canada",Canada,OAK,"Oakland, CA",United States,True,1
Delta Air Lines Inc.,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,True,81
SkyWest Airlines Inc.,TUS,"Tucson, AZ",United States,OAK,"Oakland, CA",United States,True,5
USA Jet Airlines Inc.,PUB,"Pueblo, CO",United States,OAK,"Oakland, CA",United States,False,1
Air Canada,YYZ,"Toronto, Canada",Canada,OAK,"Oakland, CA",United States,True,1
Chartright Air Inc.,SBA,"Santa Barbara, CA",United States,OAK,"Oakland, CA",United States,True,1
"KaiserAir, Inc.",TUL,"Tulsa, OK",United States,OAK,"Oakland, CA",United States,True,1
Federal Express Corporation,YYC,"Calgary, Canada",Canada,OAK,"Oakland, CA",United States,False,3
Federal Express Corporation,ORD,"Chicago, IL",United States,OAK,"Oakland, CA",United States,False,34
Alaska Airlines Inc.,PUW,"Pullman, WA",United States,OAK,"Oakland, CA",United States,True,1
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),GDL,"Guadalajara, Mexico",Mexico,OAK,"Oakland, CA",United States,True,13
Hawaiian Airlines Inc.,MEX,"Mexico City, Mexico",Mexico,OAK,"Oakland, CA",United States,True,6
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),BJX,"Leon/Guanajuato, Mexico",Mexico,OAK,"Oakland, CA",United States,True,14
Delta Air Lines Inc.,MKE,"Milwaukee, WI",United States,OAK,"Oakland, CA",United States,True,1
Delta Air Lines Inc.,MKC,"Kansas City, MO",United States,OAK,"Oakland, CA",United States,True,1
Southwest Airlines Co.,MSY,"New Orleans, LA",United States,OAK,"Oakland, CA",United States,True,20
Avjet Corporation,KOA,"Kona, HI",United States,OAK,"Oakland, CA",United States,True,37
Miami Air International,AZA,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,True,26
Allegiant Air,MSO,"Missoula, MT",United States,OAK,"Oakland, CA",United States,True,4
Delta Air Lines Inc.,CVG,"Cincinnati, OH",United States,OAK,"Oakland, CA",United States,True,1
United Parcel Service,CAE,"Columbia, SC",United States,OAK,"Oakland, CA",United States,False,1
Federal Express Corporation,MRY,"Monterey, CA",United States,OAK,"Oakland, CA",United States,False,13
Avjet Corporation,PGA,"Page, AZ",United States,OAK,"Oakland, CA",United States,True,1
Atlas Air Inc.,DAL,"Dallas, TX",United States,OAK,"Oakland, CA",United States,True,30
Federal Express Corporation,FAT,"Fresno, CA",United States,OAK,"Oakland, CA",United States,False,9
Alaska Airlines Inc.,EUG,"Eugene, OR",United States,OAK,"Oakland, CA",United States,True,15
Federal Express Corporation,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False,79
United Parcel Service,STL,"St. Louis, MO",United States,OAK,"Oakland, CA",United States,False,28
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),MLM,"Morelia, Mexico",Mexico,OAK,"Oakland, CA",United States,True,17
United Parcel Service,ABQ,"Albuquerque, NM",United States,OAK,"Oakland, CA",United States,False,36
CFM Inc d/b/a Contour Airlines,SLN,"Salina, KS",United States,OAK,"Oakland, CA",United States,True,1
Avjet Corporation,HOU,"Houston, TX",United States,OAK,"Oakland, CA",United States,True,26
USA Jet Airlines Inc.,ICT,"Wichita, KS",United States,OAK,"Oakland, CA",United States,False,2
Southwest Airlines Co.,MCO,"Orlando, FL",United States,OAK,"Oakland, CA",United States,True,1
United Parcel Service,MCI,"Kansas City, MO",United States,OAK,"Oakland, CA",United States,False,24
Avjet Corporation,LGB,"Long Beach, CA",United States,OAK,"Oakland, CA",United States,True,39
Boutique Air,MCE,"Merced, CA",United States,OAK,"Oakland, CA",United States,True,12
Air Alsie A/S,BHD,"Belfast, United Kingdom",United Kingdom,OAK,"Oakland, CA",United States,True,1
VistaJet Limited,PNH,"Phnom Penh, Cambodia",Cambodia,OAK,"Oakland, CA",United States,True,1
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False,43
Hawaiian Airlines Inc.,OGG,"Kahului, HI",United States,OAK,"Oakland, CA",United States,True,27
British Airways Plc,LGW,"London, United Kingdom",United Kingdom,OAK,"Oakland, CA",United States,True,25
Norwegian Air Shuttle ASA,ARN,"Stockholm, Sweden",Sweden,OAK,"Oakland, CA",United States,True,15
