CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
Delta Air Lines Inc.,BUR,"Burbank, CA",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,MSP,"Minneapolis, MN",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,True
Volga-Dnepr Airlines,NUQ,"Mountain View, CA",United States,OAK,"Oakland, CA",United States,False
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,True
"ADVANCED AIR, LLC",APC,"Napa, CA",United States,OAK,"Oakland, CA",United States,True
"ADVANCED AIR, LLC",OTH,"North Bend/Coos Bay, OR",United States,OAK,"Oakland, CA",United States,True
"ADVANCED AIR, LLC",RNO,"Reno, NV",United States,OAK,"Oakland, CA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,OAK,"Oakland, CA",United States,True
"ADVANCED AIR, LLC",STS,"Santa Rosa, CA",United States,OAK,"Oakland, CA",United States,True
United Parcel Service,FSD,"Sioux Falls, SD",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,MHR,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,PHL,"Philadelphia, PA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RFD,"Rockford, IL",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RFD,"Rockford, IL",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RNO,"Reno, NV",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
Avjet Corporation,BUR,"Burbank, CA",United States,OAK,"Oakland, CA",United States,True
Kalitta Charters II,AFW,"Dallas/Fort Worth, TX",United States,OAK,"Oakland, CA",United States,False
Kalitta Charters II,OKC,"Oklahoma City, OK",United States,OAK,"Oakland, CA",United States,False
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,True
Kalitta Charters II,ELP,"El Paso, TX",United States,OAK,"Oakland, CA",United States,False
Kalitta Charters II,LAS,"Las Vegas, NV",United States,OAK,"Oakland, CA",United States,False
USA Jet Airlines Inc.,LRD,"Laredo, TX",United States,OAK,"Oakland, CA",United States,False
Avjet Corporation,LAS,"Las Vegas, NV",United States,OAK,"Oakland, CA",United States,True
Gulf And Caribbean Cargo,PUB,"Pueblo, CO",United States,OAK,"Oakland, CA",United States,False
Delta Air Lines Inc.,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,SJC,"San Jose, CA",United States,OAK,"Oakland, CA",United States,True
United Parcel Service,MHR,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,PHL,"Philadelphia, PA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RFD,"Rockford, IL",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RFD,"Rockford, IL",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RNO,"Reno, NV",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SDF,"Louisville, KY",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
Atlas Air Inc.,DAL,"Dallas, TX",United States,OAK,"Oakland, CA",United States,True
Atlas Air Inc.,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,True
Ameristar Air Cargo,ABQ,"Albuquerque, NM",United States,OAK,"Oakland, CA",United States,False
Ameristar Air Cargo,LNK,"Lincoln, NE",United States,OAK,"Oakland, CA",United States,False
USA Jet Airlines Inc.,LRD,"Laredo, TX",United States,OAK,"Oakland, CA",United States,False
Delta Air Lines Inc.,SFO,"San Francisco, CA",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,True
Kalitta Charters II,LRD,"Laredo, TX",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,DEN,"Denver, CO",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,EWR,"Newark, NJ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,EWR,"Newark, NJ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,FAT,"Fresno, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,HNL,"Honolulu, HI",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,IND,"Indianapolis, IN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,IND,"Indianapolis, IN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,IND,"Indianapolis, IN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,IND,"Indianapolis, IN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,LAX,"Los Angeles, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MEM,"Memphis, TN",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,MRY,"Monterey, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,ORD,"Chicago, IL",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PDX,"Portland, OR",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PDX,"Portland, OR",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PHX,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PHX,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PHX,"Phoenix, AZ",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,RNO,"Reno, NV",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SAN,"San Diego, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SEA,"Seattle, WA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SEA,"Seattle, WA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SEA,"Seattle, WA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,SLC,"Salt Lake City, UT",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,UXK,"Petaluma, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,VIS,"Visalia, CA",United States,OAK,"Oakland, CA",United States,False
Federal Express Corporation,KIX,"Osaka, Japan",Japan,OAK,"Oakland, CA",United States,False
Federal Express Corporation,KIX,"Osaka, Japan",Japan,OAK,"Oakland, CA",United States,False
Federal Express Corporation,PVG,"Shanghai, China",China,OAK,"Oakland, CA",United States,False
United Parcel Service,MHR,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,MHR,"Sacramento, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,ONT,"Ontario, CA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,PHL,"Philadelphia, PA",United States,OAK,"Oakland, CA",United States,False
United Parcel Service,RFD,"Rockford, IL",United States,OAK,"Oakland, CA",United States,False
