CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER,INSTANCES
Alaska Airlines Inc.,SJD,"San Jose del Cabo, Mexico",Mexico,SAN,"San Diego, CA",United States,True,76
"Jet Aviation Flight Services, Inc.",SBP,"San Luis Obispo, CA",United States,SAN,"San Diego, CA",United States,True,1
Federal Express Corporation,MEM,"Memphis, TN",United States,SAN,"San Diego, CA",United States,False,34
Albinati Aeronautics SA,KEF,"Keflavik/Reykjavik, Iceland",Iceland,SAN,"San Diego, CA",United States,True,1
Federal Express Corporation,TUS,"Tucson, AZ",United States,SAN,"San Diego, CA",United States,False,27
Mjet GmbH,UUS,"Yuzhno-Sakhalinsk, Russia",Russia,SAN,"San Diego, CA",United States,True,1
Chartright Air Inc.,YYZ,"Toronto, Canada",Canada,SAN,"San Diego, CA",United States,True,24
Horizon Air,MMH,"Mammoth Lakes, CA",United States,SAN,"San Diego, CA",United States,True,5
Westjet,YYC,"Calgary, Canada",Canada,SAN,"San Diego, CA",United States,True,26
Kalitta Charters II,LEX,"Lexington, KY",United States,SAN,"San Diego, CA",United States,False,2
United Air Lines Inc.,ORD,"Chicago, IL",United States,SAN,"San Diego, CA",United States,True,82
Atlas Air Inc.,GDL,"Guadalajara, Mexico",Mexico,SAN,"San Diego, CA",United States,True,1
SkyWest Airlines Inc.,MEX,"Mexico City, Mexico",Mexico,SAN,"San Diego, CA",United States,True,2
United Air Lines Inc.,MKE,"Milwaukee, WI",United States,SAN,"San Diego, CA",United States,True,16
Delta Air Lines Inc.,MKC,"Kansas City, MO",United States,SAN,"San Diego, CA",United States,True,3
Southwest Airlines Co.,MSY,"New Orleans, LA",United States,SAN,"San Diego, CA",United States,True,22
Alaska Airlines Inc.,KOA,"Kona, HI",United States,SAN,"San Diego, CA",United States,True,20
"Swift Air, LLC",AZA,"Phoenix, AZ",United States,SAN,"San Diego, CA",United States,True,3
Delta Air Lines Inc.,MSP,"Minneapolis, MN",United States,SAN,"San Diego, CA",United States,True,74
Frontier Airlines Inc.,CVG,"Cincinnati, OH",United States,SAN,"San Diego, CA",United States,True,10
Horizon Air,MRY,"Monterey, CA",United States,SAN,"San Diego, CA",United States,True,12
Southwest Airlines Co.,TPA,"Tampa, FL",United States,SAN,"San Diego, CA",United States,True,1
Southwest Airlines Co.,DAL,"Dallas, TX",United States,SAN,"San Diego, CA",United States,True,31
SkyWest Airlines Inc.,FAT,"Fresno, CA",United States,SAN,"San Diego, CA",United States,True,21
Albinati Aeronautics SA,DUB,"Dublin, Ireland",Ireland,SAN,"San Diego, CA",United States,True,1
United Parcel Service,ONT,"Ontario, CA",United States,SAN,"San Diego, CA",United States,False,45
Southwest Airlines Co.,STL,"St. Louis, MO",United States,SAN,"San Diego, CA",United States,True,26
SkyWest Airlines Inc.,RDM,"Bend/Redmond, OR",United States,SAN,"San Diego, CA",United States,True,1
United Parcel Service,ABQ,"Albuquerque, NM",United States,SAN,"San Diego, CA",United States,False,36
Southwest Airlines Co.,HOU,"Houston, TX",United States,SAN,"San Diego, CA",United States,True,27
DCA,STR,"Stuttgart, Germany",Germany,SAN,"San Diego, CA",United States,True,1
Horizon Air,STS,"Santa Rosa, CA",United States,SAN,"San Diego, CA",United States,True,12
Federal Express Corporation,ICT,"Wichita, KS",United States,SAN,"San Diego, CA",United States,False,1
Alaska Airlines Inc.,MCO,"Orlando, FL",United States,SAN,"San Diego, CA",United States,True,63
Compass Airlines,MCI,"Kansas City, MO",United States,SAN,"San Diego, CA",United States,True,27
Southwest Airlines Co.,LGB,"Long Beach, CA",United States,SAN,"San Diego, CA",United States,True,2
Sun Country Airlines d/b/a MN Airlines,FAR,"Fargo, ND",United States,SAN,"San Diego, CA",United States,True,1
Kalitta Charters II,SDF,"Louisville, KY",United States,SAN,"San Diego, CA",United States,False,14
Alaska Airlines Inc.,OGG,"Kahului, HI",United States,SAN,"San Diego, CA",United States,True,14
Air Alsie A/S,PWK,"Chicago, IL",United States,SAN,"San Diego, CA",United States,True,1
Japan Air Lines Co. Ltd.,NRT,"Tokyo, Japan",Japan,SAN,"San Diego, CA",United States,True,12
