CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY_NAME,DEST,DEST_CITY_NAME,DEST_COUNTRY_NAME,PASSENGER
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SFO,"San Francisco, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,LIR,"Liberia, Costa Rica",Costa Rica,True
Alaska Airlines Inc.,SJC,"San Jose, CA",United States,SEA,"Seattle, WA",United States,True
SkyWest Airlines Inc.,SJC,"San Jose, CA",United States,LAX,"Los Angeles, CA",United States,True
SkyWest Airlines Inc.,SJC,"San Jose, CA",United States,PDX,"Portland, OR",United States,True
Federal Express Corporation,SJC,"San Jose, CA",United States,DFW,"Dallas/Fort Worth, TX",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,IND,"Indianapolis, IN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,MEM,"Memphis, TN",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,RNO,"Reno, NV",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
Delta Air Lines Inc.,SJC,"San Jose, CA",United States,DEN,"Denver, CO",United States,True
Delta Air Lines Inc.,SJC,"San Jose, CA",United States,PDX,"Portland, OR",United States,True
Delta Air Lines Inc.,SJC,"San Jose, CA",United States,YEG,"Edmonton, Canada",Canada,True
Avjet Corporation,SJC,"San Jose, CA",United States,BUR,"Burbank, CA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,BUR,"Burbank, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,YVR,"Vancouver, Canada",Canada,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,OAK,"Oakland, CA",United States,True
United Parcel Service,SJC,"San Jose, CA",United States,RNO,"Reno, NV",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
Avjet Corporation,SJC,"San Jose, CA",United States,SLC,"Salt Lake City, UT",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,BFI,"Seattle, WA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,BUR,"Burbank, CA",United States,True
Delta Air Lines Inc.,SJC,"San Jose, CA",United States,OAK,"Oakland, CA",United States,True
Delta Air Lines Inc.,SJC,"San Jose, CA",United States,SNA,"Santa Ana, CA",United States,True
United Parcel Service,SJC,"San Jose, CA",United States,RNO,"Reno, NV",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
Chartright Air Inc.,SJC,"San Jose, CA",United States,YYZ,"Toronto, Canada",Canada,True
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",SJC,"San Jose, CA",United States,BNA,"Nashville, TN",United States,True
Delta Air Lines Inc.,SJC,"San Jose, CA",United States,MSP,"Minneapolis, MN",United States,True
SkyWest Airlines Inc.,SJC,"San Jose, CA",United States,PDX,"Portland, OR",United States,True
SkyWest Airlines Inc.,SJC,"San Jose, CA",United States,SEA,"Seattle, WA",United States,True
Federal Express Corporation,SJC,"San Jose, CA",United States,IND,"Indianapolis, IN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,LAX,"Los Angeles, CA",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,MEM,"Memphis, TN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,MEM,"Memphis, TN",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,RNO,"Reno, NV",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,RNO,"Reno, NV",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SAT,"San Antonio, TX",United States,True
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,SJC,"San Jose, CA",United States,TUS,"Tucson, AZ",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,BUR,"Burbank, CA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,BUR,"Burbank, CA",United States,True
United Parcel Service,SJC,"San Jose, CA",United States,RNO,"Reno, NV",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,COE,"Coeur d'Alene, ID",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,CUN,"Cancun, Mexico",Mexico,True
Avjet Corporation,SJC,"San Jose, CA",United States,SNA,"Santa Ana, CA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,SBA,"Santa Barbara, CA",United States,True
Federal Express Corporation,SJC,"San Jose, CA",United States,IND,"Indianapolis, IN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,MEM,"Memphis, TN",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,RNO,"Reno, NV",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
SkyWest Airlines Inc.,SJC,"San Jose, CA",United States,BNA,"Nashville, TN",United States,True
SkyWest Airlines Inc.,SJC,"San Jose, CA",United States,PDX,"Portland, OR",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,BUR,"Burbank, CA",United States,True
Federal Express Corporation,SJC,"San Jose, CA",United States,IND,"Indianapolis, IN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,MEM,"Memphis, TN",United States,False
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",SJC,"San Jose, CA",United States,BNA,"Nashville, TN",United States,True
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",SJC,"San Jose, CA",United States,STL,"St. Louis, MO",United States,True
United Parcel Service,SJC,"San Jose, CA",United States,ONT,"Ontario, CA",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,RNO,"Reno, NV",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
Gulf And Caribbean Cargo,SJC,"San Jose, CA",United States,ELP,"El Paso, TX",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,RNO,"Reno, NV",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
United Parcel Service,SJC,"San Jose, CA",United States,SDF,"Louisville, KY",United States,False
Miami Air International,SJC,"San Jose, CA",United States,CID,"Cedar Rapids/Iowa City, IA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,SNA,"Santa Ana, CA",United States,True
Federal Express Corporation,SJC,"San Jose, CA",United States,IND,"Indianapolis, IN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,MEM,"Memphis, TN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,IND,"Indianapolis, IN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,MEM,"Memphis, TN",United States,False
Atlas Air Inc.,SJC,"San Jose, CA",United States,LAX,"Los Angeles, CA",United States,True
Federal Express Corporation,SJC,"San Jose, CA",United States,ATL,"Atlanta, GA",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,IND,"Indianapolis, IN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,MEM,"Memphis, TN",United States,False
Delta Air Lines Inc.,SJC,"San Jose, CA",United States,OAK,"Oakland, CA",United States,True
Federal Express Corporation,SJC,"San Jose, CA",United States,IND,"Indianapolis, IN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,MEM,"Memphis, TN",United States,False
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SCF,"Phoenix, AZ",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,CSL,"Cabo San Lucas, Mexico",Mexico,True
Federal Express Corporation,SJC,"San Jose, CA",United States,IND,"Indianapolis, IN",United States,False
Federal Express Corporation,SJC,"San Jose, CA",United States,MEM,"Memphis, TN",United States,False
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,VNY,"Van Nuys, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SBA,"Santa Barbara, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,UT1,"Heber, UT",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,VNY,"Van Nuys, CA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,VNY,"Van Nuys, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SBA,"Santa Barbara, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SLE,"Salem, OR",United States,True
Chartright Air Inc.,SJC,"San Jose, CA",United States,FAR,"Fargo, ND",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,SAN,"San Diego, CA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,APC,"Napa, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,TEB,"Teterboro, NJ",United States,True
VistaJet Limited,SJC,"San Jose, CA",United States,SJO,"San Jose, Costa Rica",Costa Rica,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,PHL,"Philadelphia, PA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,VNY,"Van Nuys, CA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,BUR,"Burbank, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,HOU,"Houston, TX",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,ROG,"Rogers, AR",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,TEB,"Teterboro, NJ",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SAN,"San Diego, CA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,BUR,"Burbank, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,ASE,"Aspen, CO",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SAN,"San Diego, CA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,ASE,"Aspen, CO",United States,True
VistaJet Limited,SJC,"San Jose, CA",United States,LIS,"Lisbon, Portugal",Portugal,True
VistaJet Limited,SJC,"San Jose, CA",United States,SXB,"Strasbourg, France",France,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,BED,"Bedford, MA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,MYF,"San Diego, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SBA,"Santa Barbara, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,TEB,"Teterboro, NJ",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,SUN,"Sun Valley/Hailey/Ketchum, ID",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,AUS,"Austin, TX",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SAN,"San Diego, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,JAC,"Jackson, WY",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,YYZ,"Toronto, Canada",Canada,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,TEB,"Teterboro, NJ",United States,True
VistaJet Limited,SJC,"San Jose, CA",United States,SZG,"Salzburg, Austria",Austria,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,VIS,"Visalia, CA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,HHR,"Hawthorne, CA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,RNO,"Reno, NV",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,MIA,"Miami, FL",United States,True
London Air Services Limited,SJC,"San Jose, CA",United States,YYJ,"Victoria, Canada",Canada,True
VistaJet Limited,SJC,"San Jose, CA",United States,LBG,"Paris, France",France,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,HOU,"Houston, TX",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,LAX,"Los Angeles, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SAN,"San Diego, CA",United States,True
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,SJC,"San Jose, CA",United States,BNA,"Nashville, TN",United States,True
Southwest Airlines Co.,SJC,"San Jose, CA",United States,FLL,"Fort Lauderdale, FL",United States,True
VistaJet Limited,SJC,"San Jose, CA",United States,SJO,"San Jose, Costa Rica",Costa Rica,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SAN,"San Diego, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,STN,"London, United Kingdom",United Kingdom,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,AUS,"Austin, TX",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,C01,"Camarillo, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SJO,"San Jose, Costa Rica",Costa Rica,True
Avjet Corporation,SJC,"San Jose, CA",United States,ASE,"Aspen, CO",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,CIW,"Canouan, Saint Vincent and the Grenadines",Saint Vincent and the Grenadines,True
Avjet Corporation,SJC,"San Jose, CA",United States,LAS,"Las Vegas, NV",United States,True
VistaJet Limited,SJC,"San Jose, CA",United States,YVR,"Vancouver, Canada",Canada,True
Avjet Corporation,SJC,"San Jose, CA",United States,CTS,"Sapporo, Japan",Japan,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,TEB,"Teterboro, NJ",United States,True
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,SJC,"San Jose, CA",United States,IAH,"Houston, TX",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,EWR,"Newark, NJ",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,BOS,"Boston, MA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,PRB,"Paso Robles, CA",United States,True
Chartright Air Inc.,SJC,"San Jose, CA",United States,YYZ,"Toronto, Canada",Canada,True
VistaJet Limited,SJC,"San Jose, CA",United States,NCE,"Nice, France",France,True
Avjet Corporation,SJC,"San Jose, CA",United States,BFI,"Seattle, WA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,SNA,"Santa Ana, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,IAD,"Washington, DC",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,JAC,"Jackson, WY",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,IAD,"Washington, DC",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,TEB,"Teterboro, NJ",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,HHR,"Hawthorne, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,LAX,"Los Angeles, CA",United States,True
London Air Services Limited,SJC,"San Jose, CA",United States,TEB,"Teterboro, NJ",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SAN,"San Diego, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,FLL,"Fort Lauderdale, FL",United States,True
VistaJet Limited,SJC,"San Jose, CA",United States,NCE,"Nice, France",France,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,AUS,"Austin, TX",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,VNY,"Van Nuys, CA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,OGG,"Kahului, HI",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,BGI,"Barbados/Bridgetown, Barbados",Barbados,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,BFI,"Seattle, WA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,LAS,"Las Vegas, NV",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,YVR,"Vancouver, Canada",Canada,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,LAX,"Los Angeles, CA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,LAS,"Las Vegas, NV",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,LAX,"Los Angeles, CA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,SAN,"San Diego, CA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,F70,"Murrieta/Temecula, CA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,PPT,"Papeete, French Polynesia",French Polynesia,True
SkyWest Airlines Inc.,SJC,"San Jose, CA",United States,MRY,"Monterey, CA",United States,True
Avjet Corporation,SJC,"San Jose, CA",United States,PPT,"Papeete, French Polynesia",French Polynesia,True
Avjet Corporation,SJC,"San Jose, CA",United States,BUR,"Burbank, CA",United States,True
Atlas Air Inc.,SJC,"San Jose, CA",United States,MIA,"Miami, FL",United States,False
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,VNY,"Van Nuys, CA",United States,True
"ADVANCED AIR, LLC",SJC,"San Jose, CA",United States,TKF,"Truckee, CA",United States,True
London Air Services Limited,SJC,"San Jose, CA",United States,APC,"Napa, CA",United States,True
"Jet Aviation Flight Services, Inc.",SJC,"San Jose, CA",United States,SAN,"San Diego, CA",United States,True
SkyWest Airlines Inc.,SJC,"San Jose, CA",United States,ONT,"Ontario, CA",United States,True
